Size 389 
 2.0788295e+06 2.5586460e+06 2.1756551e+06
 2.4621750e+06 2.2724817e+06 2.3695087e+06
 3.5386224e+06 3.5921879e+06 1.4978468e+06
 9.6384880e+05 1.8572666e+06 1.6178411e+06
 1.7408414e+06 1.8643426e+06 1.9879273e+06
 2.1115259e+06 2.2351268e+06 2.3587280e+06
 2.8377538e+06 2.8931963e+06 2.4823293e+06
 2.6059305e+06 2.7295317e+06 2.0349452e+06
 7.2032458e+05 7.3211141e+05 3.1593177e+06
 9.9074100e+05 3.3204377e+06 1.7107637e+06
 1.8338297e+06 2.0901929e+06 1.5846826e+06
 1.0176235e+06 2.2144979e+06 1.4585364e+06
 2.3405022e+06 1.3323798e+06 2.8423563e+06
 2.4672551e+06 1.2061112e+06 9.5202624e+05
 2.5934797e+06 1.0789342e+06 2.7200181e+06
 1.0380954e+06 6.6911618e+05
