Size 691 
 7.0941729e-06 7.0729896e-06 7.0912840e-06
 7.1737254e-06 7.3462303e-06 7.6247813e-06
 8.0346468e-06 8.5930057e-06 9.3123766e-06
 1.0210706e-05 1.1296537e-05 1.2592000e-05
 1.4102669e-05 1.5848470e-05 1.7836539e-05
 2.0085676e-05 2.2603186e-05 2.5399871e-05
 2.8518043e-05 3.1937364e-05 3.5688587e-05
 3.9799957e-05 4.4276448e-05 4.9123375e-05
 5.4371538e-05 6.0022831e-05 1.3555258e-06
 1.4480938e-05 1.1540112e-05 1.8374768e-05
 9.4428963e-06 2.3328872e-05 8.0577186e-06
 2.7142033e-05 3.3183264e-05 7.2499314e-06
 3.8122271e-05 6.9181675e-06 4.5902515e-05
 6.8852914e-06 5.1680900e-05 6.2133474e-05
 6.7803950e-05 6.9428026e-06 7.0303992e-06
 6.5873900e-06 1.1291442e-06 9.1167769e-05
 6.1716509e-06 8.3155516e-05 7.9272183e-05
 7.3480658e-05 8.2978302e-05 6.5720445e-05
 8.4412118e-05 5.6280820e-05 7.0839591e-05
 2.2299252e-06 8.3766060e-05 1.0473803e-05
 1.3065033e-05 4.6021384e-05 1.6569174e-05
 2.1098174e-05 3.5146767e-05 8.2039841e-05
 7.5511627e-05 7.2619676e-05 7.7161885e-06
 2.4270908e-05 7.7079463e-05 1.9717148e-06
 7.1521893e-06 7.4662675e-05 1.4278640e-05
 6.2490522e-06 4.0613767e-06 4.3999375e-06
 7.5938746e-05 6.9697066e-05 6.9953194e-06
 7.6948133e-05 1.9750804e-06 7.6626681e-05
 7.0199183e-06 6.1039435e-05 7.6576153e-05
 7.5564357e-05 2.3901472e-06 7.3005173e-05
 4.6969266e-05 3.1004225e-06 6.3921276e-05
 6.9662145e-05 4.4200114e-05 3.9945382e-05
 7.0905295e-05 4.8040885e-05 1.2598445e-05
 5.4536996e-06 3.6234588e-06 5.1577523e-05
 3.9766383e-05 5.4535105e-05 8.4643260e-05
 7.8128584e-05 5.2450534e-06 8.3032987e-05
 5.8044366e-05 3.7268212e-05 7.1281292e-05
 1.2133055e-06 7.9128014e-05 3.3235128e-05
 6.2326509e-05 3.4567973e-05 5.7525019e-05
 5.3647424e-05 6.7693713e-05 2.6582773e-05
 3.1688753e-05 6.7983272e-05 7.3123888e-05
 6.2259005e-05 8.5330393e-05 8.9381542e-05
 2.8635262e-05 7.3870807e-05 6.8211895e-06
 6.5177193e-05 6.1653781e-06 6.9276608e-06
 6.9053913e-06 1.7295237e-06 4.6128247e-05
 4.1383275e-05 4.1959447e-05 8.3781750e-05
 6.9198724e-06 7.0496756e-06 3.3598211e-05
 3.5959258e-05 5.5038407e-05 6.8757588e-06
 2.9703305e-05 3.0622757e-05 7.0316015e-06
 8.6843932e-06 8.5152150e-06 7.8696560e-06
 7.0035717e-06 3.9519977e-06 9.4820629e-06
 1.0177709e-05 7.0398547e-06 6.6379808e-06
 4.6321217e-05 2.3835899e-05 2.5589827e-05
 7.3818764e-06 7.6814197e-05 5.0881442e-06
 1.8692115e-05 2.0312842e-05 1.9984084e-05
 1.1657676e-05 1.2626297e-05 4.2106344e-05
 1.4690957e-05 1.5968563e-05 9.9382077e-06
 1.9113340e-05 2.5466329e-05 2.9651368e-05
 4.0657131e-05 5.1294691e-05 7.5694841e-06
 6.5758366e-05 6.1157737e-05 4.9931275e-05
 6.4823235e-05 6.0043120e-05 7.6189941e-05
 5.6230568e-05 7.6721694e-05 5.3216934e-05
 7.6327041e-05 7.5317990e-05 7.3637706e-05
 4.2195248e-06 3.6770814e-06 2.7537213e-06
 2.1647258e-06 1.3015884e-04 1.9331403e-06
 1.5471650e-04 2.1189756e-06 1.0621173e-04
 1.7940480e-04 8.3867264e-05 2.0374135e-04
 6.1879762e-06 2.2254454e-05 6.2523842e-05
 2.2721773e-04 1.5537846e-05 8.9398741e-06
 7.9508777e-05 4.3620210e-05 2.4987043e-04
 7.4017471e-06 6.3163077e-05 2.7348256e-05
 1.8880410e-05 5.6061496e-06 2.6945674e-06
 2.7001778e-04 8.6888797e-06 7.9220542e-06
 1.5648948e-05 6.9401565e-05 4.4014011e-05
 2.8722853e-04 6.0435144e-05 1.2389536e-05
 1.3000889e-05 2.8837697e-05 3.4307382e-05
 2.4401558e-06 3.9816468e-05 4.5264685e-05
 4.9617140e-05 5.0574632e-05 5.5694362e-05
 6.0648561e-05 9.5203980e-05 2.9974678e-04
 1.6845642e-05 2.3497213e-05 9.5100530e-06
 6.9808835e-05 6.9394614e-05 1.2221247e-06
 3.0636109e-04 5.9408817e-05 9.9733658e-06
 4.3590102e-05 7.6601947e-05 7.6376711e-05
 1.2358513e-05 1.8400694e-05 8.1387533e-05
 7.0147478e-06 8.1356917e-05 7.2864375e-05
 8.3985945e-05 7.8520333e-05 1.3666739e-05
 5.5736374e-05 8.4170477e-05 2.5688101e-05
 7.8360956e-05 1.1197102e-05 5.0807443e-06
 9.5558112e-06 1.3042924e-05 8.4185398e-05
 7.8002046e-05 7.8460055e-05 9.4472738e-06
 4.4622875e-05 7.7453748e-05 3.4974952e-05
 8.4554144e-05 7.1306156e-05 5.2356688e-06
 2.8729257e-06 7.5909050e-05 5.2879629e-05
 5.9323797e-06 8.6069084e-07 3.9297061e-06
 8.2089480e-05 6.8496597e-08 6.7278477e-07
 1.2269043e-05 2.2492286e-07 4.1950341e-07
 3.4554887e-06 7.8196404e-05 7.9985625e-05
 4.9937523e-05-2.3186721e-09 3.8437704e-06
 1.2308219e-05 8.0364661e-05 1.4109513e-05
 4.7252541e-05 1.3014350e-05 1.6442370e-05
 1.1244073e-05 1.7921464e-05 2.6563409e-06
 1.0485735e-05 1.3829391e-05 2.0877391e-05
 7.7722640e-05 9.2144473e-06 7.4212594e-05
 2.2767397e-05 1.3297342e-05 7.0971818e-05
 8.7655520e-06 2.6480186e-05 8.2026356e-06
 4.5249188e-05 7.4415034e-05 2.2930635e-08
 7.4732587e-06 7.7010483e-05 2.9921441e-05
 7.1885865e-06 6.5907436e-05 3.7242326e-05
 7.6053204e-05 7.0199818e-06 9.6073886e-05
 2.7929563e-05 6.6197229e-05 6.9398612e-06
 1.5092626e-07 5.0873279e-05 4.1768973e-05
 5.5467399e-05 7.5035193e-05 7.1791858e-05
 6.9260204e-06 1.2191694e-05 2.2631548e-06
 7.4614768e-05 3.8998074e-05 6.9493733e-06
 6.8020390e-05 7.2266887e-05 4.9572583e-05
 3.3311035e-05 5.8001055e-05 4.2962014e-07
 6.5111213e-05
