Number of nodes 366 
   132 : -3.5546148e+00  1.5090117e+00 
   133 : -3.3704717e+00  1.7194609e+00 
   134 : -3.1953899e+00  1.9195544e+00 
   135 : -3.0276911e+00  2.1112102e+00 
   136 : -2.8660480e+00  2.2959451e+00 
   137 : -2.7093855e+00  2.4749880e+00 
   138 : -2.5568131e+00  2.6493564e+00 
   139 : -2.4075781e+00  2.8199107e+00 
   140 : -2.2610321e+00  2.9873919e+00 
   141 : -2.1166059e+00  3.1524504e+00 
   142 : -1.9737906e+00  3.3156679e+00 
   143 : -1.8321232e+00  3.4775735e+00 
   144 : -1.6911747e+00  3.6386574e+00 
   145 : -1.5505409e+00  3.7993818e+00 
   146 : -1.4098338e+00  3.9601899e+00 
   147 : -1.2686749e+00  4.1215144e+00 
   148 : -1.1266885e+00  4.2837846e+00 
   149 : -9.8349606e-01  4.4474331e+00 
   150 : -7.9990067e-01  4.3994537e+00 
   151 : -7.6203506e-01  4.1911928e+00 
   152 : -7.2495770e-01  3.9872674e+00 
   153 : -6.8852516e-01  3.7868884e+00 
   154 : -6.5260378e-01  3.5893208e+00 
   155 : -6.1706776e-01  3.3938727e+00 
   156 : -5.8179732e-01  3.1998853e+00 
   157 : -5.4667698e-01  3.0067234e+00 
   158 : -5.1159395e-01  2.8137667e+00 
   159 : -4.7643653e-01  2.6204009e+00 
   160 : -4.4109264e-01  2.4260095e+00 
   161 : -4.0544834e-01  2.2299659e+00 
   162 : -3.6938638e-01  2.0316251e+00 
   163 : -3.3278479e-01  1.8303163e+00 
   164 : -2.9551557e-01  1.6253357e+00 
   165 : -2.5744343e-01  1.4159389e+00 
   166 : -2.1842474e-01  1.2013361e+00 
   167 : -1.7830682e-01  9.8068750e-01 
   168 : -1.3692786e-01  7.5310322e-01 
   169 : -1.2442414e-01  4.6563940e+00 
   170 :  8.9184316e-02  4.7097961e+00 
   171 :  3.0446435e-01  4.7636161e+00 
   172 :  5.2205313e-01  4.8180133e+00 
   173 :  7.4264169e-01  4.8731604e+00 
   174 :  9.6698976e-01  4.9292474e+00 
   175 :  1.1959442e+00  4.9864861e+00 
   176 :  1.4304623e+00  5.0451156e+00 
   177 :  1.6716411e+00  5.1054103e+00 
   178 :  1.9207558e+00  5.1676890e+00 
   179 :  2.1793107e+00  5.2323277e+00 
   180 :  2.4491061e+00  5.2997765e+00 
   181 :  2.7323318e+00  5.3705829e+00 
   182 :  3.0316936e+00  5.4454234e+00 
   183 :  3.3505937e+00  5.5251484e+00 
   184 :  3.6933924e+00  5.6108481e+00 
   185 :  4.1406532e+00  5.3670606e+00 
   186 :  4.2108383e+00  5.0512277e+00 
   187 :  4.0641439e+00  4.5157154e+00 
   188 :  3.8648600e+00  4.2942889e+00 
   189 :  3.6765355e+00  4.0850395e+00 
   190 :  3.4970438e+00  3.8856042e+00 
   191 :  3.3247414e+00  3.6941571e+00 
   192 :  3.1583238e+00  3.5092486e+00 
   193 :  2.9967298e+00  3.3296998e+00 
   194 :  2.8390776e+00  3.1545307e+00 
   195 :  2.6846195e+00  2.9829106e+00 
   196 :  2.5327091e+00  2.8141212e+00 
   197 :  2.3827772e+00  2.6475302e+00 
   198 :  2.2343137e+00  2.4825708e+00 
   199 :  2.0868535e+00  2.3187261e+00 
   200 :  1.9399646e+00  2.1555162e+00 
   201 :  1.7932395e+00  1.9924883e+00 
   202 :  1.6462870e+00  1.8292077e+00 
   203 :  1.4987254e+00  1.6652505e+00 
   204 :  1.3501768e+00  1.5001964e+00 
   205 :  1.2002605e+00  1.3336228e+00 
   206 :  1.0485883e+00  1.1650981e+00 
   207 :  8.9475815e-01  9.9417572e-01 
   208 :  7.3834854e-01  8.2038727e-01 
   209 :  5.7891173e-01  6.4323525e-01 
   210 :  3.7197780e-01  7.0412212e-01 
   211 :  3.2957515e-01  9.3733668e-01 
   212 :  2.8856531e-01  1.1628908e+00 
   213 :  2.4876688e-01  1.3817822e+00 
   214 :  2.1001084e-01  1.5949404e+00 
   215 :  1.7213996e-01  1.8032302e+00 
   216 :  1.3500776e-01  2.0074573e+00 
   217 :  9.8477104e-02  2.2083759e+00 
   218 :  6.2418662e-02  2.4066974e+00 
   219 :  2.6709342e-02  2.6030986e+00 
   220 : -8.7693076e-03  2.7982312e+00 
   221 : -4.4132677e-02  2.9927297e+00 
   222 : -7.9494642e-02  3.1872205e+00 
   223 : -1.1496911e-01  3.3823301e+00 
   224 : -1.5067159e-01  3.5786937e+00 
   225 : -1.8672069e-01  3.7769638e+00 
   226 : -2.2323983e-01  3.9778191e+00 
   227 : -2.6035874e-01  4.1819731e+00 
   228 : -2.9821518e-01  4.3901835e+00 
   229 : -3.6308848e-01  2.9406963e+00 
   230 : -4.3179198e-01  3.3273591e+00 
   231 : -1.5403843e-01  2.6776916e+00 
   232 : -2.6309782e-01  2.3555568e+00 
   233 :  1.3945421e-01  1.9631915e-01 
   234 : -3.2973514e-01  3.6447677e+00 
   235 : -5.3996671e-02  2.0786494e+00 
   236 : -5.5001252e-01  3.9179386e+00 
   237 : -1.5801156e-01  1.7511264e+00 
   238 : -4.4562822e-01  4.2530338e+00 
   239 :  6.7060400e-02  1.4560345e+00 
   240 : -6.5243193e-01  4.5212178e+00 
   241 : -6.6348218e-01  4.7559183e+00 
   242 : -5.9522005e-01  5.1606489e+00 
   243 : -2.7393629e-01  4.8063083e+00 
   244 : -3.8714322e-02  1.1036783e+00 
   245 :  1.7108034e-01  7.8857452e-01 
   246 : -6.8334332e-02  4.9171920e+00 
   247 :  3.8411264e-01  4.9968316e+00 
   248 : -2.4501721e-01  3.2026233e-01 
   249 :  2.1353436e-01  5.6303914e-01 
   250 :  4.0919973e-01  2.3655324e-01 
   251 :  5.9572495e-01  5.0511689e+00 
   252 : -3.9707253e-01  3.1336979e+00 
   253 : -5.0401669e-01  3.7535892e-01 
   254 :  8.1195593e-01  5.0973119e+00 
   255 : -3.3270878e-01  2.7461223e+00 
   256 : -7.5026193e-01  4.2767843e-01 
   257 : -8.4124983e-02  2.2828074e+00 
   258 : -5.6021378e-01  4.9417685e+00 
   259 : -8.6967765e-01  4.8383460e+00 
   260 : -2.5597688e-01  3.2580339e+00 
   261 : -2.2124140e-01  3.0641843e+00 
   262 :  1.0488170e+00  5.1522172e+00 
   263 : -2.9021930e-01  3.4518939e+00 
   264 : -1.8732985e-01  2.8699426e+00 
   265 : -4.7259716e-01  3.5206258e+00 
   266 : -2.2919090e-01  2.1562018e+00 
   267 : -2.9945269e-01  2.5520449e+00 
   268 : -5.1416501e-01  3.7165409e+00 
   269 : -1.1859765e-01  2.4796494e+00 
   270 : -3.6182010e+00  1.0703125e+00 
   271 : -3.6636427e-01  3.8330337e+00 
   272 : -4.5625141e-01  4.7691148e+00 
   273 : -3.7743603e+00  1.5041593e+00 
   274 : -2.0302589e+00  3.5104629e+00 
   275 : -1.8879257e+00  3.6735605e+00 
   276 : -2.1732289e+00  3.3470412e+00 
   277 : -9.9927909e-01  4.8163788e-01 
   278 : -4.0632173e-01  4.0467523e+00 
   279 : -2.3173026e+00  3.1818271e+00 
   280 :  2.4031630e-02  1.6674074e+00 
   281 : -1.7459954e+00  3.8361585e+00 
   282 : -1.6040720e+00  3.9987327e+00 
   283 : -1.4617742e+00  4.1617262e+00 
   284 :  1.6832072e-01  4.9610813e+00 
   285 :  1.2808995e+00  5.1700129e+00 
   286 : -2.4632304e+00  3.0136744e+00 
   287 : -1.9585724e-01  1.9579809e+00 
   288 : -1.3187270e+00  4.3255720e+00 
   289 : -1.2885185e-02  1.8829916e+00 
   290 : -1.1745553e+00  4.4907021e+00 
   291 :  7.9602988e-01  6.1107073e-01 
   292 : -5.9083052e-01  4.1175211e+00 
   293 : -2.6114169e+00  2.8432079e+00 
   294 : -1.0258258e+00  4.6632596e+00 
   295 :  6.3431422e-01  4.2952241e-01 
   296 : -1.2545227e+00  5.3584924e-01 
   297 :  9.5710874e-01  7.9237804e-01 
   298 :  2.8894386e+00  2.9511067e+00 
   299 :  3.0475827e+00  3.1279248e+00 
   300 : -6.2412891e-01  4.3209897e+00 
   301 :  2.7330124e+00  2.7774301e+00 
   302 : -7.5930299e-01  5.2615633e+00 
   303 :  1.1158584e+00  9.7089895e-01 
   304 : -2.7625013e+00  2.6694967e+00 
   305 :  2.5786162e+00  2.6056853e+00 
   306 : -4.7609086e-01  4.4457473e+00 
   307 :  1.4059226e-01  1.0238959e+00 
   308 :  2.4258503e+00  2.4355858e+00 
   309 :  1.4980517e+00  5.2512517e+00 
   310 :  1.2723463e+00  1.1466248e+00 
   311 :  2.2742401e+00  2.2666223e+00 
   312 :  1.4269188e+00  1.3199513e+00 
   313 :  2.1233310e+00  2.0982816e+00 
   314 :  1.5799585e+00  1.4913284e+00 
   315 :  1.9726955e+00  1.9300741e+00 
   316 :  1.7208919e+00  1.6546727e+00 
   317 :  1.8249199e+00  1.8168728e+00 
   318 : -1.1377396e-01  1.5366771e+00 
   319 : -2.9156881e+00  2.4924113e+00 
   320 :  3.2094056e+00  3.3098343e+00 
   321 : -1.4694674e+00  6.1991136e-01 
   322 : -7.4568986e-02  1.3287992e+00 
   323 : -3.0743947e+00  2.3097555e+00 
   324 : -6.0427362e-02  1.9521680e-01 
   325 :  1.7444891e+00  5.3084896e+00 
   326 :  1.0528359e-01  1.2428468e+00 
   327 :  3.3755933e+00  3.4967567e+00 
   328 : -3.2386961e+00  2.1208922e+00 
   329 : -1.7055530e+00  6.4328024e-01 
   330 : -7.2782863e-01  5.0021931e+00 
   331 : -3.4114980e+00  1.9237531e+00 
   332 :  1.9658091e+00  5.3760199e+00 
   333 :  3.5471015e+00  3.6896557e+00 
   334 :  3.8404035e+00  5.8077743e+00 
   335 :  2.4682772e-01  3.7089190e-01 
   336 : -3.8006562e-03  8.8497653e-01 
   337 :  5.5983943e-02  3.9636309e-01 
   338 : -3.5909525e+00  1.7180956e+00 
   339 : -1.9583930e+00  6.9839724e-01 
   340 :  4.8719367e+00  2.8589267e+00 
   341 :  4.4411625e+00  4.5777299e+00 
   342 :  2.2142351e+00  5.4427332e+00 
   343 :  3.4292079e-02  6.5061726e-01 
   344 :  3.7251191e+00  3.8898871e+00 
