Size 5075 
 1.0437417e+08 1.0511767e+08-3.6726659e-04-3.6726659e-04 2.4440824e+08
 1.0432013e+08 1.0327012e+08-1.8352643e-04-1.8352643e-04 2.4352534e+08
 1.0429739e+08 1.0326672e+08-1.8637544e-04-1.8637544e-04 2.4340775e+08
 1.0416508e+08 1.0364613e+08-3.8642837e-04-3.8642837e-04 2.4348759e+08
 1.0430839e+08 1.0317443e+08-3.8863354e-04-3.8863354e-04 2.4339870e+08
 1.0430094e+08 1.0313142e+08-3.8848943e-04-3.8848943e-04 2.4338906e+08
 1.0432275e+08 1.0315549e+08-0.0000000e+00-0.0000000e+00 2.4345740e+08
 1.0436559e+08 1.0327732e+08-3.8709147e-04-3.8709147e-04 2.4357214e+08
 1.0440028e+08 1.0333668e+08-0.0000000e+00-0.0000000e+00 2.4365554e+08
 1.0471180e+08 1.0360439e+08-0.0000000e+00-0.0000000e+00 2.4437710e+08
 1.0509035e+08 1.0419883e+08-3.8931987e-04-3.8931987e-04 2.4543502e+08
 1.0540902e+08 1.0501296e+08-0.0000000e+00-0.0000000e+00 2.4645898e+08
 1.0560324e+08 1.0603720e+08-4.0560971e-04-4.0560971e-04 2.4738288e+08
 1.0696299e+08 1.0768978e+08-0.0000000e+00-0.0000000e+00 2.5061614e+08
 1.0758100e+08 1.0638668e+08-0.0000000e+00-0.0000000e+00 2.5121035e+08
 1.0781027e+08 1.0778222e+08-4.0826886e-04-4.0826886e-04 2.5161726e+08
 1.0795839e+08 1.0797022e+08-0.0000000e+00-0.0000000e+00 2.5165588e+08
 1.0774225e+08 1.0767683e+08-4.0867691e-04-4.0867691e-04 2.5145353e+08
 1.0755768e+08 1.0754832e+08-0.0000000e+00-0.0000000e+00 2.5133166e+08
 1.0746126e+08 1.0691001e+08-0.0000000e+00-0.0000000e+00 2.5102421e+08
 1.0747800e+08 1.0674147e+08-0.0000000e+00-0.0000000e+00 2.5096110e+08
 1.0754156e+08 1.0718272e+08-0.0000000e+00-0.0000000e+00 2.5131068e+08
 1.0773483e+08 1.0674309e+08-0.0000000e+00-0.0000000e+00 2.5163268e+08
 1.0750386e+08 1.0792566e+08-0.0000000e+00-0.0000000e+00 2.5237275e+08
 1.0800237e+08 1.0778411e+08-4.0670540e-04-4.0670540e-04 2.5245296e+08
 1.0795762e+08 1.0776010e+08-0.0000000e+00-0.0000000e+00 2.5234267e+08
 1.0791983e+08 1.0783324e+08-0.0000000e+00-0.0000000e+00 2.5226699e+08
 1.0793721e+08 1.0784496e+08-0.0000000e+00-0.0000000e+00 2.5230141e+08
 1.0798325e+08 1.0795517e+08-3.9688053e-04-3.9688053e-04 2.5237352e+08
 1.0799131e+08 1.0795576e+08-0.0000000e+00-0.0000000e+00 2.5240033e+08
 1.0804566e+08 1.0804051e+08-0.0000000e+00-0.0000000e+00 2.5246568e+08
 1.0804631e+08 1.0803840e+08-0.0000000e+00-0.0000000e+00 2.5248804e+08
 1.0810201e+08 1.0810355e+08-0.0000000e+00-0.0000000e+00 2.5254630e+08
 1.0819998e+08 1.0820330e+08-0.0000000e+00-0.0000000e+00 2.5280345e+08
 1.0833160e+08 1.0833277e+08-3.9497046e-04-3.9497046e-04 2.5303837e+08
 1.0839112e+08 1.0839675e+08-0.0000000e+00-0.0000000e+00 2.5320866e+08
 1.0843035e+08 1.0842820e+08-0.0000000e+00-0.0000000e+00 2.5323278e+08
 1.0841614e+08 1.0841929e+08-0.0000000e+00-0.0000000e+00 2.5323052e+08
 1.0845226e+08 1.0844564e+08-0.0000000e+00-0.0000000e+00 2.5325450e+08
 1.0844727e+08 1.0844545e+08-0.0000000e+00-0.0000000e+00 2.5327125e+08
 1.0848625e+08 1.0847481e+08-3.9788211e-04-3.9788211e-04 2.5330973e+08
 1.0848274e+08 1.0847473e+08-0.0000000e+00-0.0000000e+00 2.5332632e+08
 1.0851896e+08 1.0850274e+08-0.0000000e+00-0.0000000e+00 2.5336616e+08
 1.0851912e+08 1.0850453e+08-0.0000000e+00-0.0000000e+00 2.5338735e+08
 1.0855094e+08 1.0853014e+08-0.0000000e+00-0.0000000e+00 2.5342411e+08
 1.0855145e+08 1.0853032e+08-0.0000000e+00-0.0000000e+00 2.5344217e+08
 1.0857891e+08 1.0855383e+08-4.0086565e-04-4.0086565e-04 2.5347522e+08
 1.0858076e+08 1.0855341e+08-0.0000000e+00-0.0000000e+00 2.5349270e+08
 1.0860579e+08 1.0857681e+08-0.0000000e+00-0.0000000e+00 2.5352581e+08
 1.0860950e+08 1.0857644e+08-4.0206902e-04-4.0206902e-04 2.5354428e+08
 1.0863226e+08 1.0859979e+08-4.0243367e-04-4.0243367e-04 2.5357702e+08
 1.0862731e+08 1.0858916e+08-2.0138814e-04-2.0138814e-04 2.5357235e+08
 1.0863790e+08 1.0860244e+08-0.0000000e+00-0.0000000e+00 2.5358100e+08
 1.0863529e+08 1.0859281e+08-4.0341768e-04-4.0341768e-04 2.5357921e+08
 1.0864582e+08 1.0860796e+08-4.0371624e-04-4.0371624e-04 2.5359150e+08
 1.0864532e+08 1.0859941e+08-0.0000000e+00-0.0000000e+00 2.5359243e+08
 1.0865293e+08 1.0861335e+08-4.0427392e-04-4.0427392e-04 2.5360121e+08
 1.0865206e+08 1.0860373e+08-4.0453653e-04-4.0453653e-04 2.5359946e+08
 1.0865833e+08 1.0861782e+08-4.0478001e-04-4.0478001e-04 2.5360798e+08
 1.0863584e+08 1.0859031e+08-0.0000000e+00-0.0000000e+00 2.5359591e+08
 1.0861807e+08 1.0859342e+08-4.0546509e-04-4.0546509e-04 2.5360801e+08
 1.0858735e+08 1.0858590e+08-0.0000000e+00-0.0000000e+00 2.5361553e+08
 1.0853851e+08 1.0854151e+08-2.0299944e-04-2.0299944e-04 2.5360955e+08
 1.0853816e+08 1.0741967e+08-4.0578957e-04-4.0578957e-04 2.5328655e+08
 1.0847880e+08 1.0838741e+08-2.0217361e-04-2.0217361e-04 2.5356235e+08
 1.0839474e+08 1.0914767e+08-0.0000000e+00-0.0000000e+00 2.5377608e+08
 1.0871020e+08 1.0866061e+08-4.0784681e-04-4.0784681e-04 2.5372798e+08
 1.0855385e+08 1.0741485e+08-4.0777513e-04-4.0777513e-04 2.5331933e+08
 1.0855644e+08 1.0743362e+08-0.0000000e+00-0.0000000e+00 2.5334353e+08
 1.0849508e+08 1.0747532e+08-4.0560810e-04-4.0560810e-04 2.5334935e+08
 1.0851051e+08 1.0749771e+08-0.0000000e+00-0.0000000e+00 2.5338324e+08
 1.0852534e+08 1.0753399e+08-4.0272552e-04-4.0272552e-04 2.5343004e+08
 1.0850600e+08 1.0749941e+08-0.0000000e+00-0.0000000e+00 2.5337302e+08
 1.0828567e+08 1.0725248e+08-3.9708197e-04-3.9708197e-04 2.5321983e+08
 1.0851970e+08 1.0916998e+08-3.9832192e-04-3.9832192e-04 2.5383816e+08
 1.0853361e+08 1.0910480e+08-3.9870058e-04-3.9870058e-04 2.5381463e+08
 1.0867306e+08 1.0909180e+08-3.9805651e-04-3.9805651e-04 2.5385050e+08
 1.0871905e+08 1.0898965e+08-0.0000000e+00-0.0000000e+00 2.5382752e+08
 1.0886882e+08 1.0894852e+08-3.9418389e-04-3.9418389e-04 2.5386526e+08
 1.0894756e+08 1.0882342e+08-0.0000000e+00-0.0000000e+00 2.5384969e+08
 1.0878798e+08 1.0885954e+08-0.0000000e+00-0.0000000e+00 2.5381312e+08
 1.0903796e+08 1.0867045e+08-3.8399804e-04-3.8399804e-04 2.5381717e+08
 1.0886839e+08 1.0868298e+08-0.0000000e+00-0.0000000e+00 2.5375998e+08
 1.0907614e+08 1.0874234e+08-0.0000000e+00-0.0000000e+00 2.5384012e+08
 1.0914369e+08 1.0849726e+08-3.7274036e-04-3.7274036e-04 2.5376876e+08
 1.0897733e+08 1.0848938e+08-0.0000000e+00-0.0000000e+00 2.5370971e+08
 1.0852400e+08 1.0732298e+08-0.0000000e+00-0.0000000e+00 2.5321154e+08
 1.0868821e+08 1.0749323e+08-3.6636781e-04-3.6636781e-04 2.5361800e+08
 1.0963987e+08 1.0881235e+08-3.6192538e-04-3.6192538e-04 2.5462281e+08
 1.0907580e+08 1.0901812e+08-0.0000000e+00-0.0000000e+00 2.5458700e+08
 1.0909154e+08 1.0905086e+08-3.6237320e-04-3.6237320e-04 2.5461418e+08
 1.0891086e+08 1.0827596e+08-3.5912819e-04-3.5912819e-04 2.5436202e+08
 1.0895380e+08 1.0816569e+08-0.0000000e+00-0.0000000e+00 2.5438013e+08
 1.0891199e+08 1.0860403e+08-3.5340825e-04-3.5340825e-04 2.5452737e+08
 1.0915292e+08 1.0909394e+08-3.5362251e-04-3.5362251e-04 2.5475873e+08
 1.0897166e+08 1.0794350e+08-3.5237967e-04-3.5237967e-04 2.5444566e+08
 1.0964832e+08 1.0849334e+08-3.5237925e-04-3.5237925e-04 2.5586758e+08
 1.1072614e+08 1.0977826e+08-0.0000000e+00-0.0000000e+00 2.5712373e+08
 1.1089778e+08 1.1009595e+08-3.4502723e-04-3.4502723e-04 2.5784853e+08
 1.1083326e+08 1.1046710e+08-0.0000000e+00-0.0000000e+00 2.5838188e+08
 1.1116037e+08 1.1046412e+08-0.0000000e+00-0.0000000e+00 2.5879465e+08
 1.1190675e+08 1.1066467e+08-0.0000000e+00-0.0000000e+00 2.5951651e+08
 1.1100441e+08 1.1000894e+08-0.0000000e+00-0.0000000e+00 2.5920294e+08
 1.1111146e+08 1.0996214e+08-3.3459570e-04-3.3459570e-04 2.5932900e+08
 1.1115867e+08 1.0998185e+08-0.0000000e+00-0.0000000e+00 2.5941611e+08
 1.1117090e+08 1.1015602e+08-3.3128171e-04-3.3128171e-04 2.5958519e+08
 1.1282983e+08 1.1083371e+08-0.0000000e+00-0.0000000e+00 2.6048958e+08
 1.1158431e+08 1.1012344e+08-0.0000000e+00-0.0000000e+00 2.6020721e+08
 1.1093012e+08 1.0989949e+08-0.0000000e+00-0.0000000e+00 2.5901359e+08
 1.1110879e+08 1.1107704e+08-0.0000000e+00-0.0000000e+00 2.5932570e+08
 1.1103941e+08 1.1100950e+08-0.0000000e+00-0.0000000e+00 2.5917747e+08
 1.1103787e+08 1.1101206e+08-3.3027289e-04-3.3027289e-04 2.5919373e+08
 1.1103025e+08 1.1101016e+08-3.3085309e-04-3.3085309e-04 2.5920924e+08
 1.1100085e+08 1.1099089e+08-3.3116284e-04-3.3116284e-04 2.5921595e+08
 1.1093436e+08 1.1005252e+08-3.2816712e-04-3.2816712e-04 2.5895255e+08
 1.1095912e+08 1.1004938e+08-3.2604863e-04-3.2604863e-04 2.5899965e+08
 1.1021334e+08 1.0987873e+08-0.0000000e+00-0.0000000e+00 2.5876401e+08
 1.1082318e+08 1.1154968e+08-0.0000000e+00-0.0000000e+00 2.5955570e+08
 1.1109128e+08 1.0989403e+08-0.0000000e+00-0.0000000e+00 2.5918772e+08
 1.1105571e+08 1.1006829e+08-0.0000000e+00-0.0000000e+00 2.5932765e+08
 1.1118464e+08 1.0997008e+08-3.5621360e-04-3.5621360e-04 2.5938320e+08
 1.1119244e+08 1.0997041e+08-0.0000000e+00-0.0000000e+00 2.5943191e+08
 1.1124719e+08 1.1003863e+08-0.0000000e+00-0.0000000e+00 2.5951504e+08
 1.1143125e+08 1.1021722e+08-3.5167334e-04-3.5167334e-04 2.6001963e+08
 1.1175681e+08 1.1145787e+08-0.0000000e+00-0.0000000e+00 2.6088390e+08
 1.1216254e+08 1.1152681e+08-0.0000000e+00-0.0000000e+00 2.6146808e+08
 1.1252116e+08 1.1155192e+08-3.5245401e-04-3.5245401e-04 2.6164204e+08
 1.1233513e+08 1.1147159e+08-0.0000000e+00-0.0000000e+00 2.6157756e+08
 1.1271355e+08 1.1154757e+08-3.6068116e-04-3.6068116e-04 2.6181493e+08
 1.1243635e+08 1.1146347e+08-3.6840759e-04-3.6840759e-04 2.6160035e+08
 1.1207225e+08 1.1137130e+08-0.0000000e+00-0.0000000e+00 2.6139533e+08
 1.1208702e+08 1.1137921e+08-0.0000000e+00-0.0000000e+00 2.6126838e+08
 1.1176976e+08 1.1136099e+08-4.0480395e-04-4.0480395e-04 2.6120054e+08
 1.1187781e+08 1.1152895e+08-4.2054631e-04-4.2054631e-04 2.6131378e+08
 1.1221793e+08 1.1151639e+08-4.3361070e-04-4.3361070e-04 2.6144279e+08
 1.1201327e+08 1.1167812e+08-4.4889246e-04-4.4889246e-04 2.6145703e+08
 1.1171925e+08 1.1179606e+08-0.0000000e+00-0.0000000e+00 2.6143163e+08
 1.1184845e+08 1.1187450e+08-4.8169741e-04-4.8169741e-04 2.6151989e+08
 1.1214782e+08 1.1175935e+08-4.9590812e-04-4.9590812e-04 2.6160084e+08
 1.1200741e+08 1.1192658e+08-5.1032706e-04-5.1032706e-04 2.6163339e+08
 1.1169079e+08 1.1212045e+08-0.0000000e+00-0.0000000e+00 2.6162114e+08
 1.1193117e+08 1.1209635e+08-5.4104430e-04-5.4104430e-04 2.6171004e+08
 1.1214085e+08 1.1194304e+08-5.5400847e-04-5.5400847e-04 2.6175063e+08
 1.1207052e+08 1.1207779e+08-5.6637503e-04-5.6637503e-04 2.6179251e+08
 1.1188952e+08 1.1229661e+08-5.8031994e-04-5.8031994e-04 2.6182698e+08
 1.1205800e+08 1.1220935e+08-0.0000000e+00-0.0000000e+00 2.6187310e+08
 1.1217263e+08 1.1205300e+08-6.0270240e-04-6.0270240e-04 2.6188247e+08
 1.1214783e+08 1.1216751e+08-6.1313947e-04-6.1313947e-04 2.6192895e+08
 1.1210360e+08 1.1234673e+08-6.2327421e-04-6.2327421e-04 2.6198914e+08
 1.1216386e+08 1.1228119e+08-6.3277776e-04-6.3277776e-04 2.6200614e+08
 1.1220913e+08 1.1212833e+08-6.4208255e-04-6.4208255e-04 2.6199317e+08
 1.1221058e+08 1.1222687e+08-0.0000000e+00-0.0000000e+00 2.6204175e+08
 1.1222484e+08 1.1207545e+08-6.5886321e-04-6.5886321e-04 2.6201899e+08
 1.1223104e+08 1.1217507e+08-6.6658567e-04-6.6658567e-04 2.6206848e+08
 1.1225528e+08 1.1234191e+08-0.0000000e+00-0.0000000e+00 2.6214341e+08
 1.1226221e+08 1.1227591e+08-6.8171487e-04-6.8171487e-04 2.6214266e+08
 1.1230317e+08 1.1243439e+08-0.0000000e+00-0.0000000e+00 2.6221886e+08
 1.1230625e+08 1.1236551e+08-6.9532985e-04-6.9532985e-04 2.6221510e+08
 1.1227275e+08 1.1223467e+08-7.0169702e-04-7.0169702e-04 2.6218164e+08
 1.1223759e+08 1.1224758e+08-7.0760826e-04-7.0760826e-04 2.6206318e+08
 1.1207631e+08 1.1238451e+08-7.1632254e-04-7.1632254e-04 2.6191453e+08
 1.1213149e+08 1.1224571e+08-0.0000000e+00-0.0000000e+00 2.6174449e+08
 1.1207281e+08 1.1211193e+08-0.0000000e+00-0.0000000e+00 2.6162203e+08
 1.1198654e+08 1.1196220e+08-7.3342341e-04-7.3342341e-04 2.6152058e+08
 1.1199880e+08 1.1200659e+08-7.3811363e-04-7.3811363e-04 2.6148934e+08
 1.1208567e+08 1.1214471e+08-0.0000000e+00-0.0000000e+00 2.6157193e+08
 1.1206412e+08 1.1209082e+08-7.4685808e-04-7.4685808e-04 2.6156386e+08
 1.1198457e+08 1.1197281e+08-7.5085669e-04-7.5085669e-04 2.6151903e+08
 1.1204119e+08 1.1204849e+08-7.5443551e-04-7.5443551e-04 2.6157309e+08
 1.1214187e+08 1.1217946e+08-0.0000000e+00-0.0000000e+00 2.6165682e+08
 1.1210812e+08 1.1212587e+08-7.6099527e-04-7.6099527e-04 2.6164443e+08
 1.1201944e+08 1.1201484e+08-0.0000000e+00-0.0000000e+00 2.6159741e+08
 1.1207877e+08 1.1208417e+08-0.0000000e+00-0.0000000e+00 2.6164861e+08
 1.1218238e+08 1.1220441e+08-0.0000000e+00-0.0000000e+00 2.6172817e+08
 1.1207163e+08 1.1208246e+08-7.7118857e-04-7.7118857e-04 2.6154337e+08
 1.1192358e+08 1.1192285e+08-7.7325776e-04-7.7325776e-04 2.6136154e+08
 1.1190846e+08 1.1191302e+08-0.0000000e+00-0.0000000e+00 2.6124109e+08
 1.1201068e+08 1.1202211e+08-0.0000000e+00-0.0000000e+00 2.6131471e+08
 1.1182606e+08 1.1182500e+08-0.0000000e+00-0.0000000e+00 2.6121128e+08
 1.1190586e+08 1.1212780e+08-0.0000000e+00-0.0000000e+00 2.6133935e+08
 1.1196367e+08 1.1224038e+08-7.9231063e-04-7.9231063e-04 2.6140840e+08
 1.1182486e+08 1.1084982e+08-7.9031417e-04-7.9031417e-04 2.6099551e+08
 1.1185510e+08 1.1086000e+08-7.8889950e-04-7.8889950e-04 2.6105633e+08
 1.1199541e+08 1.1197785e+08-0.0000000e+00-0.0000000e+00 2.6171665e+08
 1.1268400e+08 1.1154741e+08-0.0000000e+00-0.0000000e+00 2.6296590e+08
 1.1339098e+08 1.1229004e+08-7.8692960e-04-7.8692960e-04 2.6464572e+08
 1.1349231e+08 1.1329950e+08-3.9680163e-04-3.9680163e-04 2.6500346e+08
 1.1345812e+08 1.1251623e+08-0.0000000e+00-0.0000000e+00 2.6482051e+08
 1.1352604e+08 1.1237920e+08-7.9209111e-04-7.9209111e-04 2.6490958e+08
 1.1351527e+08 1.1281348e+08-0.0000000e+00-0.0000000e+00 2.6507448e+08
 1.1354479e+08 1.1353638e+08-7.9160232e-04-7.9160232e-04 2.6531364e+08
 1.1359761e+08 1.1247923e+08-7.9132406e-04-7.9132406e-04 2.6508301e+08
 1.1367371e+08 1.1265212e+08-7.9040650e-04-7.9040650e-04 2.6529038e+08
 1.1382247e+08 1.1252012e+08-0.0000000e+00-0.0000000e+00 2.6563944e+08
 1.1405739e+08 1.1298110e+08-7.9034571e-04-7.9034571e-04 2.6622371e+08
 1.1411084e+08 1.1480882e+08-0.0000000e+00-0.0000000e+00 2.6693419e+08
 1.1470305e+08 1.1458135e+08-7.8996023e-04-7.8996023e-04 2.6718731e+08
 1.1422195e+08 1.1366917e+08-7.8753720e-04-7.8753720e-04 2.6680217e+08
 1.1223139e+08 1.1350733e+08-8.1614998e-04-8.1614998e-04 2.6644935e+08
 1.1513018e+08 1.1411807e+08-8.1562896e-04-8.1562896e-04 2.6882644e+08
 1.1564438e+08 1.1462592e+08-8.1531129e-04-8.1531129e-04 2.7002322e+08
 1.1664099e+08 1.1529833e+08-0.0000000e+00-0.0000000e+00 2.7056482e+08
 1.1583916e+08 1.1583947e+08-0.0000000e+00-0.0000000e+00 2.7049883e+08
 1.1584367e+08 1.1609036e+08-8.1477007e-04-8.1477007e-04 2.7063856e+08
 1.1582749e+08 1.1457428e+08-8.1266965e-04-8.1266965e-04 2.7022109e+08
 1.1578521e+08 1.1586612e+08-8.1076699e-04-8.1076699e-04 2.7064736e+08
 1.1575000e+08 1.1545494e+08-8.1218121e-04-8.1218121e-04 2.7055570e+08
 1.1586134e+08 1.1539540e+08-0.0000000e+00-0.0000000e+00 2.7094150e+08
 1.1573668e+08 1.1566193e+08-8.4201656e-04-8.4201656e-04 2.7126662e+08
 1.1685291e+08 1.1684862e+08-0.0000000e+00-0.0000000e+00 2.7205941e+08
 1.1646926e+08 1.1645659e+08-8.4231344e-04-8.4231344e-04 2.7183861e+08
 1.1646700e+08 1.1636956e+08-0.0000000e+00-0.0000000e+00 2.7182358e+08
 1.1610242e+08 1.1611126e+08-8.4268003e-04-8.4268003e-04 2.7164853e+08
 1.1709889e+08 1.1580127e+08-8.4855958e-04-8.4855958e-04 2.7182566e+08
 1.1626848e+08 1.1527139e+08-0.0000000e+00-0.0000000e+00 2.7147399e+08
 1.1636841e+08 1.1536964e+08-8.4737577e-04-8.4737577e-04 2.7170269e+08
 1.1647153e+08 1.1546013e+08-8.4701006e-04-8.4701006e-04 2.7192271e+08
 1.1655315e+08 1.1553093e+08-0.0000000e+00-0.0000000e+00 2.7210319e+08
 1.1660246e+08 1.1559394e+08-8.4627764e-04-8.4627764e-04 2.7223608e+08
 1.1661472e+08 1.1661431e+08-8.4745369e-04-8.4745369e-04 2.7255820e+08
 1.1657601e+08 1.1713542e+08-0.0000000e+00-0.0000000e+00 2.7272340e+08
 1.1671585e+08 1.1718219e+08-0.0000000e+00-0.0000000e+00 2.7279884e+08
 1.1747276e+08 1.1692090e+08-0.0000000e+00-0.0000000e+00 2.7313591e+08
 1.1766088e+08 1.1687511e+08-8.5879305e-04-8.5879305e-04 2.7332729e+08
 1.1790228e+08 1.1689445e+08-0.0000000e+00-0.0000000e+00 2.7359733e+08
 1.1713153e+08 1.1685801e+08-8.6429779e-04-8.6429779e-04 2.7337442e+08
 1.1717055e+08 1.1710318e+08-0.0000000e+00-0.0000000e+00 2.7347220e+08
 1.1717207e+08 1.1710759e+08-0.0000000e+00-0.0000000e+00 2.7348681e+08
 1.1719329e+08 1.1712508e+08-0.0000000e+00-0.0000000e+00 2.7351618e+08
 1.1721562e+08 1.1715686e+08-8.6505638e-04-8.6505638e-04 2.7356517e+08
 1.1720962e+08 1.1606434e+08-0.0000000e+00-0.0000000e+00 2.7350164e+08
 1.1721155e+08 1.1623374e+08-8.6409784e-04-8.6409784e-04 2.7356727e+08
 1.1701761e+08 1.1584884e+08-0.0000000e+00-0.0000000e+00 2.7324414e+08
 1.1707755e+08 1.1578623e+08-8.6040369e-04-8.6040369e-04 2.7332240e+08
 1.1717323e+08 1.1607430e+08-8.5849169e-04-8.5849169e-04 2.7352783e+08
 1.1724894e+08 1.1609129e+08-0.0000000e+00-0.0000000e+00 2.7381765e+08
 1.1741164e+08 1.1642712e+08-8.5849363e-04-8.5849363e-04 2.7416945e+08
 1.1747814e+08 1.1630368e+08-8.5791647e-04-8.5791647e-04 2.7433038e+08
 1.1767557e+08 1.1663867e+08-8.5773954e-04-8.5773954e-04 2.7469616e+08
 1.1769715e+08 1.1663958e+08-8.5663129e-04-8.5663129e-04 2.7478304e+08
 1.1751572e+08 1.1631182e+08-0.0000000e+00-0.0000000e+00 2.7464918e+08
 1.1882757e+08 1.1758234e+08-8.4579335e-04-8.4579335e-04 2.7549521e+08
 1.1787041e+08 1.1670185e+08-8.4582403e-04-8.4582403e-04 2.7503883e+08
 1.1794654e+08 1.1676313e+08-8.4583418e-04-8.4583418e-04 2.7521084e+08
 1.1810140e+08 1.1844679e+08-8.5159134e-04-8.5159134e-04 2.7578180e+08
 1.1905906e+08 1.1764137e+08-0.0000000e+00-0.0000000e+00 2.7588316e+08
 1.1923244e+08 1.1750615e+08-8.4530834e-04-8.4530834e-04 2.7585311e+08
 1.1908359e+08 1.1751131e+08-0.0000000e+00-0.0000000e+00 2.7569008e+08
 1.1795858e+08 1.1675939e+08-0.0000000e+00-0.0000000e+00 2.7521506e+08
 1.1805123e+08 1.1684264e+08-0.0000000e+00-0.0000000e+00 2.7543798e+08
 1.1803105e+08 1.1700905e+08-8.4172506e-04-8.4172506e-04 2.7558528e+08
 1.1809104e+08 1.1711976e+08-0.0000000e+00-0.0000000e+00 2.7575480e+08
 1.1816966e+08 1.1723566e+08-0.0000000e+00-0.0000000e+00 2.7597290e+08
 1.1819090e+08 1.1715548e+08-0.0000000e+00-0.0000000e+00 2.7609027e+08
 1.1957140e+08 1.1809865e+08-0.0000000e+00-0.0000000e+00 2.7692561e+08
 1.1957097e+08 1.1809743e+08-0.0000000e+00-0.0000000e+00 2.7695192e+08
 1.1965420e+08 1.1841110e+08-8.3717767e-04-8.3717767e-04 2.7737719e+08
 1.1879435e+08 1.1874447e+08-8.3738185e-04-8.3738185e-04 2.7725212e+08
 1.1879078e+08 1.1874995e+08-8.3755301e-04-8.3755301e-04 2.7724221e+08
 1.1879344e+08 1.1876221e+08-8.3771645e-04-8.3771645e-04 2.7725042e+08
 1.1882482e+08 1.1883004e+08-8.3897918e-04-8.3897918e-04 2.7729817e+08
 1.1892188e+08 1.1893148e+08-0.0000000e+00-0.0000000e+00 2.7736143e+08
 1.1898329e+08 1.1899909e+08-0.0000000e+00-0.0000000e+00 2.7741823e+08
 1.1904124e+08 1.1904982e+08-0.0000000e+00-0.0000000e+00 2.7748267e+08
 1.1883967e+08 1.1882909e+08-4.2122537e-04-4.2122537e-04 2.7736105e+08
 1.1885154e+08 1.1883023e+08-8.4255069e-04-8.4255069e-04 2.7738568e+08
 1.1923071e+08 1.1922550e+08-8.4291621e-04-8.4291621e-04 2.7765125e+08
 1.1887664e+08 1.1885506e+08-8.4305168e-04-8.4305168e-04 2.7744622e+08
 1.1888296e+08 1.1886050e+08-8.4321588e-04-8.4321588e-04 2.7746261e+08
 1.1889184e+08 1.1887858e+08-4.2165843e-04-4.2165843e-04 2.7748369e+08
 1.1888729e+08 1.1880159e+08-0.0000000e+00-0.0000000e+00 2.7747168e+08
 1.1855256e+08 1.1856585e+08-8.4377841e-04-8.4377841e-04 2.7731299e+08
 1.1864241e+08 1.1864241e+08-0.0000000e+00-0.0000000e+00 2.7737543e+08
 1.1894455e+08 1.1892934e+08-0.0000000e+00-0.0000000e+00 2.7760605e+08
 1.1899202e+08 1.1896786e+08-8.4504584e-04-8.4504584e-04 2.7772040e+08
 1.1965183e+08 1.1843858e+08-8.4483211e-04-8.4483211e-04 2.7927568e+08
 1.1998718e+08 1.2002570e+08-8.4763608e-04-8.4763608e-04 2.7986557e+08
 1.2004742e+08 1.2008208e+08-0.0000000e+00-0.0000000e+00 2.7991334e+08
 1.2006987e+08 1.2014510e+08-8.5326068e-04-8.5326068e-04 2.7995244e+08
 1.2003404e+08 1.2008543e+08-8.5546965e-04-8.5546965e-04 2.7979965e+08
 1.2003060e+08 1.2006810e+08-8.5704482e-04-8.5704482e-04 2.7969623e+08
 1.1991087e+08 1.1993472e+08-8.5861904e-04-8.5861904e-04 2.7950166e+08
 1.1957674e+08 1.1955564e+08-4.3095171e-04-4.3095171e-04 2.7930970e+08
 1.1956215e+08 1.1951652e+08-0.0000000e+00-0.0000000e+00 2.7935131e+08
 1.1957957e+08 1.1955857e+08-0.0000000e+00-0.0000000e+00 2.7940732e+08
 1.1964240e+08 1.1960174e+08-4.3610748e-04-4.3610748e-04 2.7945445e+08
 1.1961737e+08 1.1953648e+08-8.7663106e-04-8.7663106e-04 2.7944321e+08
 1.1957123e+08 1.1949056e+08-0.0000000e+00-0.0000000e+00 2.7943077e+08
 1.1958580e+08 1.1951949e+08-8.8253491e-04-8.8253491e-04 2.7957528e+08
 1.1989203e+08 1.1981265e+08-8.8261430e-04-8.8261430e-04 2.7984239e+08
 1.1961456e+08 1.1961581e+08-0.0000000e+00-0.0000000e+00 2.7981780e+08
 1.1968765e+08 1.1966769e+08-8.8548717e-04-8.8548717e-04 2.7986831e+08
 1.1999831e+08 1.1997496e+08-0.0000000e+00-0.0000000e+00 2.8006676e+08
 1.1998518e+08 1.1993440e+08-0.0000000e+00-0.0000000e+00 2.8006407e+08
 1.1993968e+08 1.1988549e+08-8.8618189e-04-8.8618189e-04 2.7997252e+08
 1.1988511e+08 1.1983789e+08-8.8643362e-04-8.8643362e-04 2.7986199e+08
 1.1985723e+08 1.1980083e+08-0.0000000e+00-0.0000000e+00 2.7979648e+08
 1.1988625e+08 1.1982626e+08-0.0000000e+00-0.0000000e+00 2.7983291e+08
 1.1991873e+08 1.1989375e+08-0.0000000e+00-0.0000000e+00 2.7988437e+08
 1.1993164e+08 1.1990010e+08-4.4362832e-04-4.4362832e-04 2.7990899e+08
 1.1992980e+08 1.1989829e+08-4.4375631e-04-4.4375631e-04 2.7991201e+08
 1.1979878e+08 1.1972774e+08-8.9291069e-04-8.9291069e-04 2.7978980e+08
 1.1966799e+08 1.1949479e+08-0.0000000e+00-0.0000000e+00 2.7966726e+08
 1.1976823e+08 1.1963444e+08-0.0000000e+00-0.0000000e+00 2.7972464e+08
