Size 5075 
 9.4594108e+07 9.3512506e+07-0.0000000e+00-0.0000000e+00 2.1919054e+08
 9.4973198e+07 9.3954117e+07-0.0000000e+00-0.0000000e+00 2.2018177e+08
 9.5536785e+07 9.4548686e+07-3.6103021e-05-3.6103021e-05 2.2155315e+08
 9.5547772e+07 9.4576693e+07-0.0000000e+00-0.0000000e+00 2.2159382e+08
 9.5654879e+07 9.4658091e+07-0.0000000e+00-0.0000000e+00 2.2172802e+08
 9.5115125e+07 9.5123723e+07-3.5626991e-05-3.5626991e-05 2.2170957e+08
 9.5107086e+07 9.5115817e+07-0.0000000e+00-0.0000000e+00 2.2176065e+08
 9.5110039e+07 9.5117059e+07-3.5872047e-05-3.5872047e-05 2.2184153e+08
 9.5110487e+07 9.5113582e+07-0.0000000e+00-0.0000000e+00 2.2191648e+08
 9.5062949e+07 9.5060326e+07-0.0000000e+00-0.0000000e+00 2.2187900e+08
 9.5030381e+07 9.5023534e+07-3.6357677e-05-3.6357677e-05 2.2187766e+08
 9.4990144e+07 9.4981206e+07-3.6461318e-05-3.6461318e-05 2.2185760e+08
 9.4967533e+07 9.4959658e+07-0.0000000e+00-0.0000000e+00 2.2187533e+08
 9.5329697e+07 9.5323112e+07-0.0000000e+00-0.0000000e+00 2.2213570e+08
 9.5365634e+07 9.5353220e+07-0.0000000e+00-0.0000000e+00 2.2219979e+08
 9.5351697e+07 9.5339370e+07-3.6642091e-05-3.6642091e-05 2.2215224e+08
 9.5317532e+07 9.5308869e+07-0.0000000e+00-0.0000000e+00 2.2206639e+08
 9.5289917e+07 9.5290517e+07-3.7027084e-05-3.7027084e-05 2.2201032e+08
 9.5257669e+07 9.5276042e+07-0.0000000e+00-0.0000000e+00 2.2195743e+08
 9.5240690e+07 9.5276355e+07-3.7713291e-05-3.7713291e-05 2.2193545e+08
 9.5201809e+07 9.5262318e+07-0.0000000e+00-0.0000000e+00 2.2188047e+08
 9.5230062e+07 9.5321187e+07-0.0000000e+00-0.0000000e+00 2.2199220e+08
 9.5243348e+07 9.5370737e+07-0.0000000e+00-0.0000000e+00 2.2207982e+08
 9.5253559e+07 9.5422081e+07-3.9915145e-05-3.9915145e-05 2.2217263e+08
 9.5218112e+07 9.5432713e+07-0.0000000e+00-0.0000000e+00 2.2216875e+08
 9.5167393e+07 9.5445280e+07-0.0000000e+00-0.0000000e+00 2.2215921e+08
 9.5119121e+07 9.5460173e+07-4.2362375e-05-4.2362375e-05 2.2215196e+08
 9.5069876e+07 9.5477791e+07-0.0000000e+00-0.0000000e+00 2.2216052e+08
 9.5007339e+07 9.5493856e+07-4.4304651e-05-4.4304651e-05 2.2216554e+08
 9.4933789e+07 9.5509430e+07-4.5435735e-05-4.5435735e-05 2.2216756e+08
 9.4957729e+07 9.5636681e+07-0.0000000e+00-0.0000000e+00 2.2243192e+08
 9.4969707e+07 9.5774764e+07-4.8419068e-05-4.8419068e-05 2.2272701e+08
 9.4903973e+07 9.5872163e+07-0.0000000e+00-0.0000000e+00 2.2294614e+08
 9.4600413e+07 9.5809107e+07-0.0000000e+00-0.0000000e+00 2.2285209e+08
 9.3980006e+07 9.5486178e+07-0.0000000e+00-0.0000000e+00 2.2258269e+08
 9.5342415e+07 9.4097228e+07-8.3756486e-05-8.3756486e-05 2.2259165e+08
 9.5679883e+07 9.4700756e+07-0.0000000e+00-0.0000000e+00 2.2299950e+08
 9.5769027e+07 9.4979161e+07-0.0000000e+00-0.0000000e+00 2.2322910e+08
 9.5851666e+07 9.5171199e+07-9.1749518e-05-9.1749518e-05 2.2347614e+08
 9.5987909e+07 9.5370905e+07-0.0000000e+00-0.0000000e+00 2.2384283e+08
 9.6082972e+07 9.5501930e+07-9.2639835e-05-9.2639835e-05 2.2410247e+08
 9.6205058e+07 9.5642536e+07-0.0000000e+00-0.0000000e+00 2.2441490e+08
 9.6130199e+07 9.5574529e+07-9.2872401e-05-9.2872401e-05 2.2425924e+08
 9.6073602e+07 9.5516508e+07-0.0000000e+00-0.0000000e+00 2.2413920e+08
 9.6029680e+07 9.5464758e+07-9.2806847e-05-9.2806847e-05 2.2404293e+08
 9.6177810e+07 9.5599326e+07-0.0000000e+00-0.0000000e+00 2.2438973e+08
 9.6368707e+07 9.5770500e+07-9.2472969e-05-9.2472969e-05 2.2483201e+08
 9.6547249e+07 9.5921145e+07-0.0000000e+00-0.0000000e+00 2.2524208e+08
 9.6719135e+07 9.6051236e+07-9.1413865e-05-9.1413865e-05 2.2563443e+08
 9.6846717e+07 9.6113369e+07-8.9974301e-05-8.9974301e-05 2.2592898e+08
 9.6921364e+07 9.6097538e+07-0.0000000e+00-0.0000000e+00 2.2617469e+08
 9.7068423e+07 9.7069535e+07-8.2196635e-05-8.2196635e-05 2.2684077e+08
 9.7375562e+07 9.7334510e+07-8.1290397e-05-8.1290397e-05 2.2725490e+08
 9.7593362e+07 9.7527881e+07-0.0000000e+00-0.0000000e+00 2.2767291e+08
 9.7624692e+07 9.7554397e+07-8.1152546e-05-8.1152546e-05 2.2772392e+08
 9.7649896e+07 9.7583592e+07-8.1264970e-05-8.1264970e-05 2.2778586e+08
 9.7668176e+07 9.7609372e+07-0.0000000e+00-0.0000000e+00 2.2784087e+08
 9.7661027e+07 9.7610711e+07-8.1524066e-05-8.1524066e-05 2.2783913e+08
 9.7653790e+07 9.7611723e+07-8.1642220e-05-8.1642220e-05 2.2783683e+08
 9.7648466e+07 9.7613846e+07-8.1746897e-05-8.1746897e-05 2.2783739e+08
 9.7651181e+07 9.7622989e+07-0.0000000e+00-0.0000000e+00 2.2785464e+08
 9.7664301e+07 9.7641489e+07-0.0000000e+00-0.0000000e+00 2.2789407e+08
 9.7654939e+07 9.7636540e+07-8.1980436e-05-8.1980436e-05 2.2787912e+08
 9.7654138e+07 9.7639322e+07-0.0000000e+00-0.0000000e+00 2.2788251e+08
 9.7655460e+07 9.7643549e+07-8.2083817e-05-8.2083817e-05 2.2788956e+08
 9.7656435e+07 9.7646904e+07-8.2125344e-05-8.2125344e-05 2.2789481e+08
 9.7657227e+07 9.7649687e+07-8.2162175e-05-8.2162175e-05 2.2789892e+08
 9.7658003e+07 9.7652166e+07-8.2195284e-05-8.2195284e-05 2.2790248e+08
 9.7658341e+07 9.7653976e+07-8.2224870e-05-8.2224870e-05 2.2790460e+08
 9.7659152e+07 9.7656041e+07-0.0000000e+00-0.0000000e+00 2.2790741e+08
 9.7661092e+07 9.7658880e+07-0.0000000e+00-0.0000000e+00 2.2791219e+08
 9.7663634e+07 9.7661743e+07-8.2279814e-05-8.2279814e-05 2.2791726e+08
 9.7669660e+07 9.7668062e+07-8.2278452e-05-8.2278452e-05 2.2792996e+08
 9.7672938e+07 9.7635990e+07-8.2293846e-05-8.2293846e-05 2.2792924e+08
 9.7678502e+07 9.7645542e+07-0.0000000e+00-0.0000000e+00 2.2794292e+08
 9.7723578e+07 9.7694321e+07-0.0000000e+00-0.0000000e+00 2.2804884e+08
 9.7772268e+07 9.7746923e+07-8.2381163e-05-8.2381163e-05 2.2816283e+08
 9.7833767e+07 9.7812706e+07-0.0000000e+00-0.0000000e+00 2.2830698e+08
 9.7835509e+07 9.7818785e+07-8.2426408e-05-8.2426408e-05 2.2831175e+08
 9.7836571e+07 9.7824572e+07-8.2437457e-05-8.2437457e-05 2.2831500e+08
 9.7838122e+07 9.7831518e+07-0.0000000e+00-0.0000000e+00 2.2831966e+08
 9.7458348e+07 9.6829381e+07-8.2385604e-05-8.2385604e-05 2.2735175e+08
 9.7227190e+07 9.6613089e+07-8.2376696e-05-8.2376696e-05 2.2685296e+08
 9.7210722e+07 9.6605750e+07-0.0000000e+00-0.0000000e+00 2.2682308e+08
 9.7593146e+07 9.6999122e+07-0.0000000e+00-0.0000000e+00 2.2771947e+08
 9.7976975e+07 9.7398158e+07-8.2380773e-05-8.2380773e-05 2.2861949e+08
 9.8211850e+07 9.7654223e+07-0.0000000e+00-0.0000000e+00 2.2917446e+08
 9.8443812e+07 9.7915819e+07-0.0000000e+00-0.0000000e+00 2.2972705e+08
 9.8610665e+07 9.8122935e+07-0.0000000e+00-0.0000000e+00 2.3013416e+08
 9.8820117e+07 9.8382132e+07-8.2168353e-05-8.2168353e-05 2.3064706e+08
 9.8743665e+07 9.8363895e+07-8.2038740e-05-8.2038740e-05 2.3049869e+08
 9.8705433e+07 9.8390725e+07-8.1894316e-05-8.1894316e-05 2.3044342e+08
 9.8640147e+07 9.8392454e+07-0.0000000e+00-0.0000000e+00 2.3032476e+08
 9.8642687e+07 9.8459123e+07-8.1627553e-05-8.1627553e-05 2.3035990e+08
 9.8649445e+07 9.8522491e+07-8.1532080e-05-8.1532080e-05 2.3039689e+08
 9.8658855e+07 9.8577856e+07-0.0000000e+00-0.0000000e+00 2.3043017e+08
 9.8823991e+07 9.8777137e+07-8.1443651e-05-8.1443651e-05 2.3081666e+08
 9.8948948e+07 9.8924945e+07-8.1441347e-05-8.1441347e-05 2.3110111e+08
 9.9101892e+07 9.9091276e+07-0.0000000e+00-0.0000000e+00 2.3144491e+08
 9.9063041e+07 9.9058852e+07-8.1485960e-05-8.1485960e-05 2.3133767e+08
 9.9016913e+07 9.9014152e+07-0.0000000e+00-0.0000000e+00 2.3121185e+08
 9.8954129e+07 9.8949634e+07-0.0000000e+00-0.0000000e+00 2.3104715e+08
 9.8964692e+07 9.8956505e+07-8.1590816e-05-8.1590816e-05 2.3105430e+08
 9.8974279e+07 9.8961348e+07-0.0000000e+00-0.0000000e+00 2.3106040e+08
 9.8981880e+07 9.8963811e+07-0.0000000e+00-0.0000000e+00 2.3106342e+08
 9.9071839e+07 9.9048608e+07-8.1681058e-05-8.1681058e-05 2.3126008e+08
